Country,Dimension,Factor,Indicator,Indicator_Name,Year,Nivel_de_madurez_texto_EN
Antigua and Barbuda,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Argentina,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Established
Bahamas,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Barbados,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Belize,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Bolivia,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Brazil,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Established
Chile,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Established
Colombia,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Costa Rica,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Established
Dominica,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Ecuador,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
El Salvador,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Grenada,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Startup
Guatemala,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Guyana,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Haiti,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Honduras,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Jamaica,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Mexico,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Nicaragua,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Startup
Panama,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Established
Paraguay,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Peru,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Established
Dominican Republic,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Established
Saint Kitts and Nevis,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Saint Vincent and the Grenadines,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Saint Lucia,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Suriname,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Trinidad and Tobago,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Uruguay,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Established
Venezuela,Culture and Society,Cybersecurity Mind-set,Private sector,Cybersecurity Mind-set: Private sector,2015,Formative
Antigua and Barbuda,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Argentina,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Formative
Bahamas,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Barbados,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Belize,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Bolivia,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Brazil,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Formative
Chile,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Formative
Colombia,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Established
Costa Rica,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Dominica,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Ecuador,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
El Salvador,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Grenada,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Guatemala,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Guyana,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Haiti,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Honduras,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Jamaica,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Mexico,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Nicaragua,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Panama,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Paraguay,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Formative
Peru,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Dominican Republic,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Saint Kitts and Nevis,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Saint Vincent and the Grenadines,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Saint Lucia,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Suriname,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
Trinidad and Tobago,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Formative
Uruguay,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Established
Venezuela,Culture and Society,Cybersecurity Mind-set,Society,Cybersecurity Mind-set: Society,2015,Startup
El Salvador,Culture and Society,Privacy Online,Privacy standards,Privacy Online: Privacy standards,2015,Established
Antigua and Barbuda,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Argentina,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Bahamas,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Barbados,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Belize,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Bolivia,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Brazil,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Chile,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Colombia,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Established
Costa Rica,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Dominica,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Ecuador,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
El Salvador,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Grenada,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Guatemala,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Guyana,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Haiti,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Honduras,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Jamaica,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Mexico,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Nicaragua,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Panama,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Paraguay,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Peru,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Dominican Republic,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Formative
Saint Kitts and Nevis,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Saint Vincent and the Grenadines,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Saint Lucia,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Suriname,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
Trinidad and Tobago,Culture and Society,Cybersecurity Awareness,Awareness raising,Cybersecurity Awareness: Awareness raising,2015,Startup
